iter	Passed	Remaining
0	1091	1089980
1	1101	549786
2	1111	369436
3	1119	278871
4	1125	223956
5	1130	187287
6	1134	160881
7	1137	141079
8	1142	125747
9	1145	113397
10	1148	103299
11	1152	94861
12	1157	87852
13	1160	81740
14	1164	76486
15	1168	71841
16	1171	67767
17	1175	64128
18	1179	60904
19	1183	57969
20	1186	55327
21	1190	52924
22	1195	50762
23	1198	48736
24	1202	46883
25	1205	45160
26	1209	43575
27	1212	42107
28	1216	40730
29	1220	39460
30	1224	38262
31	1227	37136
32	1231	36074
33	1234	35066
34	1237	34132
35	1241	33241
36	1244	32393
37	1248	31616
38	1252	30859
39	1255	30143
40	1259	29459
41	1263	28822
42	1267	28203
43	1271	27630
44	1275	27061
45	1278	26522
46	1282	25998
47	1286	25512
48	1289	25029
49	1293	24568
50	1296	24124
51	1300	23713
52	1304	23301
53	1307	22902
54	1310	22519
55	1314	22163
56	1317	21803
57	1322	21472
58	1325	21146
59	1330	20842
60	1333	20532
61	1337	20231
62	1340	19944
63	1344	19663
64	1348	19394
65	1351	19124
66	1355	18871
67	1358	18620
68	1362	18383
69	1366	18149
70	1369	17921
71	1373	17701
72	1376	17484
73	1380	17273
74	1383	17069
75	1387	16867
76	1390	16670
77	1394	16480
78	1397	16296
79	1401	16113
80	1413	16034
81	1422	15921
82	1425	15747
83	1429	15584
84	1433	15430
85	1437	15272
86	1440	15114
87	1444	14966
88	1447	14819
89	1451	14675
90	1454	14532
91	1458	14390
92	1462	14265
93	1466	14134
94	1470	14009
95	1474	13883
96	1478	13759
97	1481	13634
98	1484	13511
99	1488	13392
100	1491	13277
101	1495	13162
102	1498	13050
103	1501	12939
104	1505	12835
105	1509	12730
106	1512	12624
107	1516	12521
108	1519	12421
109	1523	12323
110	1526	12224
111	1529	12127
112	1533	12035
113	1536	11943
114	1540	11852
115	1543	11761
116	1546	11673
117	1550	11588
118	1553	11501
119	1556	11417
120	1560	11336
121	1564	11255
122	1567	11175
123	1570	11095
124	1573	11017
125	1577	10941
126	1580	10866
127	1584	10795
128	1588	10724
129	1591	10652
130	1595	10582
131	1598	10513
132	1602	10443
133	1605	10378
134	1609	10312
135	1612	10245
136	1615	10179
137	1619	10117
138	1623	10053
139	1626	9990
140	1629	9928
141	1633	9869
142	1636	9808
143	1640	9749
144	1643	9692
145	1647	9637
146	1650	9579
147	1654	9522
148	1657	9465
149	1660	9408
150	1663	9354
151	1666	9299
152	1670	9247
153	1673	9195
154	1677	9143
155	1680	9092
156	1683	9040
157	1686	8990
158	1690	8942
159	1694	8893
160	1697	8843
161	1700	8798
162	1704	8752
163	1707	8704
164	1711	8659
165	1714	8613
166	1718	8569
167	1721	8525
168	1724	8480
169	1728	8437
170	1731	8395
171	1734	8351
172	1738	8310
173	1747	8296
174	1758	8292
175	1770	8287
176	1782	8286
177	1792	8275
178	1800	8258
179	1804	8221
180	1808	8184
181	1812	8148
182	1816	8111
183	1821	8076
184	1824	8039
185	1828	8001
186	1831	7963
187	1835	7925
188	1838	7889
189	1842	7855
190	1845	7818
191	1849	7782
192	1852	7747
193	1856	7712
194	1860	7679
195	1863	7645
196	1867	7611
197	1870	7578
198	1873	7542
199	1877	7508
200	1880	7474
201	1883	7442
202	1887	7409
203	1890	7376
204	1893	7344
205	1897	7313
206	1900	7281
207	1904	7252
208	1909	7226
209	1912	7196
210	1916	7164
211	1919	7134
212	1922	7104
213	1926	7076
214	1929	7046
215	1933	7017
216	1936	6988
217	1939	6958
218	1943	6931
219	1947	6903
220	1951	6877
221	1954	6850
222	1958	6822
223	1961	6795
224	1965	6771
225	1970	6747
226	1973	6720
227	1977	6696
228	1981	6670
229	1984	6644
230	1987	6617
231	1991	6593
232	1995	6567
233	1998	6542
234	2002	6517
235	2005	6493
236	2009	6469
237	2012	6443
238	2016	6419
239	2019	6396
240	2023	6371
241	2026	6347
242	2030	6324
243	2033	6301
244	2037	6277
245	2040	6253
246	2043	6230
247	2047	6207
248	2050	6184
249	2053	6161
250	2057	6139
251	2060	6116
252	2064	6094
253	2067	6072
254	2070	6050
255	2074	6027
256	2078	6008
257	2081	5987
258	2085	5966
259	2088	5944
260	2092	5925
261	2095	5903
262	2099	5882
263	2102	5861
264	2106	5842
265	2110	5823
266	2113	5802
267	2116	5781
268	2121	5764
269	2124	5744
